pmon_snapshot(pid,sm,mem,enc,dec,command) - sampled every 1s
#Date        Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#YYYYMMDD    HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 20260414    10:40:17       1    1119773     C     49     38      -      -      -      -   2104      0    python         
 20260414    10:40:18       0    1119772     C     50     40      -      -      -      -   2104      0    python         
 20260414    10:40:18       1    1119773     C     47     37      -      -      -      -   2104      0    python         
 20260414    10:40:19       0    1119772     C     46     37      -      -      -      -   2104      0    python         
 20260414    10:40:19       1    1119773     C     45     36      -      -      -      -   2104      0    python         
 20260414    10:40:20       0    1119772     C     48     37      -      -      -      -   2104      0    python         
 20260414    10:40:20       1    1119773     C     46     36      -      -      -      -   2104      0    python         
 20260414    10:40:21       0    1119772     C     47     37      -      -      -      -   2104      0    python         
 20260414    10:40:21       1    1119773     C     45     36      -      -      -      -   2104      0    python         
 20260414    10:40:22       0    1119772     C     46     36      -      -      -      -   2104      0    python         
 20260414    10:40:22       1    1119773     C     45     35      -      -      -      -   2104      0    python         
 20260414    10:40:23       0    1119772     C     50     39      -      -      -      -   2104      0    python         
 20260414    10:40:23       1    1119773     C     46     37      -      -      -      -   2124      0    python         
 20260414    10:40:24       0    1119772     C     47     38      -      -      -      -   2124      0    python         
 20260414    10:40:24       1    1119773     C     43     35      -      -      -      -   2124      0    python         
 20260414    10:40:25       0    1119772     C     50     39      -      -      -      -   2124      0    python         
 20260414    10:40:25       1    1119773     C     46     36      -      -      -      -   2124      0    python         
 20260414    10:40:26       0    1119772     C     46     36      -      -      -      -   2124      0    python         
 20260414    10:40:26       1    1119773     C     45     35      -      -      -      -   2124      0    python         
#Date        Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#YYYYMMDD    HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 20260414    10:40:27       0    1119772     C     46     36      -      -      -      -   2124      0    python         
 20260414    10:40:27       1    1119773     C     44     35      -      -      -      -   2124      0    python         
 20260414    10:40:29       0    1119772     C     51     40      -      -      -      -   2124      0    python         
 20260414    10:40:29       1    1119773     C     47     37      -      -      -      -   2124      0    python         
 20260414    10:40:30       0    1119772     C     49     38      -      -      -      -   2124      0    python         
 20260414    10:40:30       1    1119773     C     46     36      -      -      -      -   2124      0    python         
 20260414    10:40:31       0    1119772     C     45     36      -      -      -      -   2124      0    python         
 20260414    10:40:31       1    1119773     C     44     35      -      -      -      -   2124      0    python         
 20260414    10:40:32       0    1119772     C     44     35      -      -      -      -   2124      0    python         
 20260414    10:40:32       1    1119773     C     44     35      -      -      -      -   2124      0    python         
 20260414    10:40:33       0    1119772     C     45     35      -      -      -      -   2124      0    python         
 20260414    10:40:33       1    1119773     C     44     35      -      -      -      -   2124      0    python         
 20260414    10:40:34       0    1119772     C     46     37      -      -      -      -   2124      0    python         
 20260414    10:40:34       1    1119773     C     51     40      -      -      -      -   2124      0    python         
 20260414    10:40:35       0    1119772     C     42     34      -      -      -      -   2124      0    python         
 20260414    10:40:35       1    1119773     C     43     35      -      -      -      -   2124      0    python         
 20260414    10:40:36       0    1119772     C     48     38      -      -      -      -   2124      0    python         
 20260414    10:40:36       1    1119773     C     45     35      -      -      -      -   2124      0    python         
 20260414    10:40:37       0    1119772     C     52     41      -      -      -      -   2124      0    python         
 20260414    10:40:37       1    1119773     C     51     40      -      -      -      -   2124      0    python         
 20260414    10:40:38       0    1119772     C     49     38      -      -      -      -   2124      0    python         
 20260414    10:40:38       1    1119773     C     53     41      -      -      -      -   2124      0    python         
 20260414    10:40:39       0    1119772     C     49     39      -      -      -      -   2124      0    python         
 20260414    10:40:39       1    1119773     C     51     40      -      -      -      -   2124      0    python         
 20260414    10:40:40       0    1119772     C     50     39      -      -      -      -   2124      0    python         
 20260414    10:40:40       1    1119773     C     52     41      -      -      -      -   2124      0    python         
 20260414    10:40:41       0    1119772     C     50     39      -      -      -      -   2124      0    python         
 20260414    10:40:41       1    1119773     C     53     42      -      -      -      -   2124      0    python         
 20260414    10:40:42       0    1119772     C     48     38      -      -      -      -   2124      0    python         
 20260414    10:40:42       1    1119773     C     51     40      -      -      -      -   2124      0    python         
 20260414    10:40:44       0    1119772     C     48     37      -      -      -      -   2124      0    python         
 20260414    10:40:44       1    1119773     C     46     36      -      -      -      -   2124      0    python         
